0,figura,"[3.0, 4.0]"
1,di,"[]"
2,fiume,"[0.0]"
3,tra,"[0.0]"
4,un,"[1.0]"
5,promontorio,"[3.0, 7.0]"
6,a,"[]"
7,destra,"[1.0, 3.0]"
8,e,"[]"
9,un,"[0.0]"
10,ampia,"[1.0]"
11,costiera,"[5.0]"
12,dall,"[3.0]"
13,altra,"[]"
14,parte,"[2.0, 4.0]"
15,e,"[]"
16,il,"[]"
17,ponte,"[4.0]"
18,che,"[]"
19,ivi,"[]"
20,congiunge,"[1.0, 4.0]"
21,le,"[1.0]"
22,due,"[]"
23,rive,"[]"
24,par,"[0.0]"
25,che,"[1.0, 2.0]"
26,renda,"[3.0, 4.0]"
27,ancor,"[]"
28,più,"[0.0]"
29,sensibile,"[5.0]"
30,all,"[]"
31,occhio,"[0.0, 4.0]"
32,questa,"[]"
33,trasformazione,"[4.0]"
34,e,"[0.0]"
35,segni,"[1.0, 3.0]"
36,il,"[]"
37,punto,"[]"
38,in,"[]"
39,cui,"[]"
40,il,"[0.0]"
41,lago,"[]"
