0,torrenti,"[5.0]"
1,scende,"[4.0]"
2,appoggiata,"[4.0]"
3,a,"[]"
4,due,"[0.0]"
5,monti,"[3.0]"
6,contigui,"[0.0]"
7,l,"[0.0]"
8,uno,"[]"
9,detto,"[4.0]"
10,di,"[]"
11,san,"[2.0]"
12,Martino,"[4.0]"
13,l,"[]"
14,altro,"[2.0, 3.0]"
15,con,"[]"
16,voce,"[2.0]"
17,lombarda,"[4.0]"
18,il,"[]"
19,Resegone,"[3.0]"
20,dai,"[]"
21,molti,"[2.0, 4.0]"
22,suoi,"[3.0]"
23,cocuzzoli,"[1.0, 4.0]"
24,in,"[]"
25,fila,"[3.0]"
26,che,"[]"
27,in,"[]"
28,vero,"[2.0]"
29,lo,"[]"
30,fanno,"[1.0, 2.0, 3.0]"
31,somigliare,"[2.0, 7.0]"
32,a,"[]"
33,una,"[1.0]"
34,sega,"[0.0, 3.0]"
35,talchè,"[4.0]"
36,non,"[]"
37,è,"[]"
38,chi,"[]"
39,al,"[]"
40,primo,"[]"
41,vederlo,"[5.0]"
