0,cessa,"[4.0]"
1,e,"[]"
2,l,"[]"
3,Adda,"[]"
4,rincomincia,"[0.0, 9.0]"
5,per,"[2.0]"
6,ripigliar,"[2.0, 7.0]"
7,poi,"[]"
8,nome,"[2.0]"
9,di,"[]"
10,lago,"[]"
11,dove,"[0.0, 3.0]"
12,le,"[1.0]"
13,rive,"[2.0]"
14,allontanandosi,"[3.0, 10.0]"
15,di,"[]"
16,nuovo,"[2.0, 3.0]"
17,lascian,"[4.0]"
18,l,"[]"
19,acqua,"[]"
20,distendersi,"[0.0]"
21,e,"[]"
22,rallentarsi,"[5.0]"
23,in,"[]"
24,nuovi,"[0.0]"
25,golfi,"[]"
26,e,"[0.0]"
27,in,"[1.0]"
28,nuovi,"[2.0]"
29,seni,"[]"
30,La,"[0.0]"
31,costiera,"[7.0]"
32,formata,"[0.0, 4.0]"
33,dal,"[]"
34,deposito,"[0.0]"
35,di,"[0.0]"
36,tre,"[]"
37,grossi,"[5.0]"
